Number of players,,All,41,EN,15,CN,14,JP,12,Language Usage,,
Unit,,Count,Usage,EN-Count,EN-Usage,CN-Count,CN-Usage,JP-Count,JP-Usage,EN,CN,JP
,Karla,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Karla Hatari,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Karla Spring Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Katarina,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Katarina Plegian,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kaze,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Keaton,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Keaton New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kellam Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kempf,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kent,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kiragi,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kiria,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kjelle,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Klein,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kliff,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Knoll,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kris (F),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kris (M),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kris (M) Plegian,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kronya,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kurthnaga Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kvasir Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kvasir New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kyle,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kyza New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,L'Arachel,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,L'Arachel Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,L'Arachel Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,L'Arachel Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lachesis Masquerade,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Laegjarn,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Laegjarn Ascended,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Laegjarn New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Laegjarn Ninja Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Laegjarn Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Laevatein,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Laevatein New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Laevatein Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Laevatein Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lana Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lapis,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lapis Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lapis Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lara,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Larcei,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Larcei Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Larcei Scion,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Larum,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Larum Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Laslow,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Laurent,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Leanne,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Legault,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Legion,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Leif,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Leif Attuned,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Leif Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Leif Scion Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Leila,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Leila Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Leila Thief,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lena,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lena Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lene,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Leo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Leo Hoshidan Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Leo Picnic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Leo Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Leo Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Leon,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Leonardo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lethe,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lethe Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lethe New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Letizia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lewyn,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lewyn Scion,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lex,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Libra,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lif Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lif Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lifis Pirate,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lilina,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lilina Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lilina Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lilina Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lilina Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lilina Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lilith,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lilith Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Limstella,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Linde,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Linde Khadein Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Linde Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Linhardt,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Linhardt Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Linoan,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Linus,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Linus Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lissa,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lissa Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lissa Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lissa Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lloyd,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lloyd Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Loki,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Loki Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lon'qu,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lon'qu Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lorenz,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lorenz Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Louise,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Louise Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lucia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lucia Hoshidan Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lucina,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lucina Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lucina Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lucina Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lucina Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lucina Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lucius,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lucius Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ludveck,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lugh,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lukas,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lukas Picnic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Luke,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lumera,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lumera Fallen Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lumera Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lute,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lute Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Luthier,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Luthier Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lyn Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lyn Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lyn Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lyon,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lyon Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lyon Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lyon Valentine's Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lyon Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lyre New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lysithea,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lysithea Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lysithea Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lysithea Teatime,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Lysithea Winter Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Machyua Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mae,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mae Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Malice,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Malice Jehanna,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mamori,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Manuela Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Marcia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mareeta,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mareeta Ascended,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mareeta Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Maria,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Maria Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Maria Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Marianne,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Marianne Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Marianne Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Maribelle,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Marisa,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Marisa Jehanna Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Marisa Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mark Young Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Marla,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Marni,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Marth,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Marth (Masked),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Marth Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Marth Emblem,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Marth Groom,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Marth Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Marth Winter Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Marth Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mathilda,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Matthew,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Matthis,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mauvier,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Medeus Ancient,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Medeus Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Melady,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mercedes,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mercedes Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Merlinus,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Merric,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Merric Ascended,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Merric Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Merrin,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Metodey,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mia Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mia Summer Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mia Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Micaiah,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Micaiah Attuned,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Micaiah Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Micaiah Bridal Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Micaiah Hoshidan Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Micaiah Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Micaiah Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Michalis,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Michalis Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Midir,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Midori,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mikoto,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mila Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Minerva,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Minerva Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Minerva Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mirabilis Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mirabilis Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mirabilis Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Miranda,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Miriel,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mist,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mist Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Monica,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mordecai,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mordecai Flame,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Morgan (F),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Morgan (M),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Morgan (M) Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mozu,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Muarim Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Murdock,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Muspell,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Muspell Flame,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mustafa,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Mycen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Myrrh,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Myrrh Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Myrrh Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Myrrh Spring Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Myrrh Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Naesala,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Naesala Pirate,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Naga Ancient,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Naga Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Naga Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nagi,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nagi Halloween Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nah,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nah Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nailah,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nailah Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nailah Hatari,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nanna,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nanna Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nanna Scion,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Narcian,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Narcian Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Natasha,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Navarre,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Navarre Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Neimi,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nel Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nel Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nemesis,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nephenee,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nephenee Hoshidan Summer Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nephenee Soiree,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nerthuz Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nerthuz Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nerthuz New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nerthuz Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nidavellir,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nidhoggr Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nidhoggr New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nifl,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nifl Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Niime,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Niles,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Niles Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nils,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nils Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nils Ice,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nina,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nina Thief Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ninian,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ninian Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ninian Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ninian Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nino,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nino Attuned,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nino Flying,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nino Khadein,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nino Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Noah,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Noire Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Noire Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nomah,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Norne,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Norne Sunner,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nott Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nowi,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nowi Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nuibaba Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Nyna,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Oboro,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Oboro Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Odin,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ogier,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ogma,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ogma Feroxi,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ogma Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Oliver,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Olivia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Olivia Flying,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Olivia Performing,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Olivia Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Olwen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Olwen Green Tome,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ophelia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ophelia Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Orochi,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Orson Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Oscar,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Osian,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Oswin,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Otr Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Owain,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Owain Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Palla,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Palla Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Palla Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Palla Valentian,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Palla Young Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Pandreo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Panette,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Panne,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Panne New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Patty,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Pelleas,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Pent,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Pent Groom,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Peony Attuned,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Peony Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Peony New Year Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Perceval,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Peri,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Perne,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Petra,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Petra Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Petrine,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Phila,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Phina,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
