Number of players,,All,41,EN,15,CN,14,JP,12,Language Usage,,
Unit,,Count,Usage,EN-Count,EN-Usage,CN-Count,CN-Usage,JP-Count,JP-Usage,EN,CN,JP
,Athos Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Atlas,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,August,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Aversa,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ayra,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ayra Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ayra Teatime Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Azama,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Azelle,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Azura,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Azura Attuned,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Azura Hatari Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Azura Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Azura New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Azura Performing,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Azura Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Baldr Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Balthus,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Balthus Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Bantu,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Barst,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Bartre,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Bartre Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Basilio,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Bastian,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Benny,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Berkut,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Berkut Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Berkut Soiree,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Bernadetta,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Bernadetta Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Bernadetta Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Bertram,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Beruka,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Black Knight,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Black Knight Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Boey,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Bors,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Boyd,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Boyd Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Brady,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Bramimond Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Brigand Boss,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Brigid Attuned,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Brigid Pirate,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Brunnya,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Bruno,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Bruno Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Bruno Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Byleth (F),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Byleth (F) Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Byleth (F) Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Byleth (F) Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Byleth (F) Summer Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Byleth (M),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Byleth (M) Khadein,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Byleth (M) Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Byleth (M) Winter Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Caeda,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Caeda Attuned,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Caeda Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Caeda Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Caeda Summer Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Caeda Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Caeldori,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Caellach,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Cain,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Caineghis,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Camilla,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Camilla Adrift,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Camilla Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Camilla Hostile Springs,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Camilla Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Camilla New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Camilla Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Camilla Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Camilla Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Camus,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Canas,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Candace,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Caspar,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Caspar Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Castor,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Cath,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Cath Thief,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Catherine,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Catria,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Catria Bridal Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Catria Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Catria Valentian,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Catria Wind,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Cecilia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Cecilia Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Cecilia Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ced,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ced Ascended,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Celica,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Celica Ascended,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Celica Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Celica Emblem,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Celica Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Celica Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Celine,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Celine Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Celine Teatime,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Cervantes,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Chad,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Charlotte,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Charlotte Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Cherche,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Cherche Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Chloe,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Chloe Spring Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Chrom,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Chrom Exalted,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Chrom Fallen Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Chrom Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Chrom Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Chrom Valentine's Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Chrom Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Chulainn,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Chulainn Feroxi,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Citrinne,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Clair,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Clanne Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Clarine,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Clarisse,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Claude,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Claude Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Claude Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Claude Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Claude Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Claude Wind,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Claude Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Clive,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Colm,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Conrad,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Conrad Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Constance,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Cordelia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
